"PSY_ITEM_ID","PSY_ITEM_VER","SUB_PSY_ITEM_ID","QUESTION_NO","CHOICE_NO","CHOICE_DIRECTION","CHOICE_SCORE","IMG_FILE_PATH","IMG_FILE_NM","MEDIA_FILE_PATH","MEDIA_FILE_NM"
PEER_RELATIONSHIP,V1.0,"20202031",21,4,대체로 그렇다.,4,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",21,5,매우 그렇다.,5,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",22,1,전혀 그렇지 않다.,1,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",22,2,별로 그렇지 않다.,2,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",22,3,보통이다.,3,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",22,4,대체로 그렇다.,4,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",22,5,매우 그렇다.,5,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",23,1,전혀 그렇지 않다.,1,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",23,2,별로 그렇지 않다.,2,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",23,3,보통이다.,3,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",23,4,대체로 그렇다.,4,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",23,5,매우 그렇다.,5,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",24,1,전혀 그렇지 않다.,1,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",24,2,별로 그렇지 않다.,2,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",24,3,보통이다.,3,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",24,4,대체로 그렇다.,4,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",24,5,매우 그렇다.,5,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",25,1,전혀 그렇지 않다.,5,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",25,2,별로 그렇지 않다.,4,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",25,3,보통이다.,3,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",25,4,대체로 그렇다.,2,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",25,5,매우 그렇다.,1,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",26,1,전혀 그렇지 않다.,1,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",26,2,별로 그렇지 않다.,2,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",26,3,보통이다.,3,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",26,4,대체로 그렇다.,4,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",26,5,매우 그렇다.,5,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",27,1,전혀 그렇지 않다.,1,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",27,2,별로 그렇지 않다.,2,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",27,3,보통이다.,3,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",27,4,대체로 그렇다.,4,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",27,5,매우 그렇다.,5,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",28,1,전혀 그렇지 않다.,5,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",28,2,별로 그렇지 않다.,4,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",28,3,보통이다.,3,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",28,4,대체로 그렇다.,2,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",28,5,매우 그렇다.,1,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",29,1,전혀 그렇지 않다.,1,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",29,2,별로 그렇지 않다.,2,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",29,3,보통이다.,3,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",29,4,대체로 그렇다.,4,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",29,5,매우 그렇다.,5,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",30,1,전혀 그렇지 않다.,1,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",30,2,별로 그렇지 않다.,2,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",30,3,보통이다.,3,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",30,4,대체로 그렇다.,4,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",30,5,매우 그렇다.,5,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",31,1,전혀 그렇지 않다.,1,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",31,2,별로 그렇지 않다.,2,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",31,3,보통이다.,3,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",31,4,대체로 그렇다.,4,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",31,5,매우 그렇다.,5,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",32,1,전혀 그렇지 않다.,1,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",32,2,별로 그렇지 않다.,2,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",32,3,보통이다.,3,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",32,4,대체로 그렇다.,4,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",32,5,매우 그렇다.,5,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",33,1,전혀 그렇지 않다.,1,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",33,2,별로 그렇지 않다.,2,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",33,3,보통이다.,3,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",33,4,대체로 그렇다.,4,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",33,5,매우 그렇다.,5,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",34,1,전혀 그렇지 않다.,1,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",34,2,별로 그렇지 않다.,2,"",,"",
PEER_RELATIONSHIP,V1.0,"20202031",34,3,보통이다.,3,"",,"",
