"PSY_CODE","CLASS_CODE","PSY_ORD_TARGET","PSY_ORD_NO","PSY_NAME","PSY_URL","START_DATE","END_DATE","ORIGINAL_END_DATE","LONGITUDINAL_YN","CLOSE_YN","USE_YN","USE_CNT","USE_DATE","MEMO","REG_MEMBER_NO","REG_DATE","MOD_MEMBER_NO","MOD_DATE"
P202507092726,M10000036202550384AE,,P250709081117a043d05,"25년 7월 1회차",P202507092726-M10000036202550384AE,"20250701","20250709",,Y,N,,0,,,M10000036,"2025-07-09 08:32:50",,
P2025070930B2,WC007420253016564,,P2507090436352ee89ff,"25년 7월 1회차",P2025070930B2-WC007420253016564,"20250701","20250731",,Y,N,,0,,,M10000033,"2025-07-09 05:39:39",,
P202507093825,AC003320254028107,,P25070801344605f162e,"25년 7월 1회차",P202507093825-AC003320254028107,"20250708","20250712",,Y,Y,,0,,,M10000019,"2025-07-09 01:23:52",,
P20250709419F,M1000002320256030CF8,,P250708081015c89b330,"25년 7월 1회차",P20250709419F-M1000002320256030CF8,"20250709","20250813","20250806",Y,Y,,0,,,M10000023,"2025-07-09 00:48:25",,
P20250709495B,AC00022025303BF27,,P2507071050375f7a23d,"25년 7월 1회차",P20250709495B-AC00022025303BF27,"20250702","20250716","20250709",Y,Y,,0,,,M10000004,"2025-07-09 01:19:33",,
P20250709518E,AC00022025303BF27,,P2507071050375f7a23d,"25년 7월 3회차",P20250709518E-AC00022025303BF27,"20250709","20250709",,Y,Y,,0,,,M10000004,"2025-07-09 02:03:36",,
P2025070959FC,AC028020254014067,,P25070901034256a963f,"25년 7월 1회차",P2025070959FC-AC028020254014067,"20250707","20250716","20250709",Y,Y,,0,,,M10000024,"2025-07-09 01:33:43",,
P2025070965A7,AC0001202530101AF,,P2507041007510da4ac5,"25년 7월 5회차",P2025070965A7-AC0001202530101AF,"20250708","20250725","20250718",Y,Y,,0,,,M10000001,"2025-07-09 02:02:45",,
P202507098064,AC0001202530101AF,,P2507041007510da4ac5,"25년 7월 4회차",P202507098064-AC0001202530101AF,"20250708","20250718","20250711",Y,Y,,0,,,M10000001,"2025-07-09 01:48:15",,
P202507099598,QC015920253011D6D,,P250709073224a3dcadf,"25년 7월 1회차",P202507099598-QC015920253011D6D,"20250709","20250709",,Y,N,,0,,,M10000037,"2025-07-09 07:42:52",,
P20250709A51A,AC003320255037CE7,,P25070801344605f162e,"25년 7월 1회차",P20250709A51A-AC003320255037CE7,"20250709","20250723",,Y,N,,0,,,M10000018,"2025-07-09 01:16:44",,
P20250709A810,AC028020254014067,,P25070901034256a963f,"25년 7월 2회차",P20250709A810-AC028020254014067,"20250708","20250729",,Y,N,,0,,,M10000024,"2025-07-09 02:22:33",,
P20250709BD1D,AC02802025502806C,,P25070901034256a963f,"25년 7월 1회차",P20250709BD1D-AC02802025502806C,"20250708","20250714",,Y,N,,0,,,M10000020,"2025-07-09 01:25:20",,
P20250709C997,AC02802025502806C,,P25070901034256a963f,"25년 7월 2회차",P20250709C997-AC02802025502806C,"20250708","20250712",,Y,N,,0,,,M10000020,"2025-07-09 01:32:17",,
